Date,Open,Close,High,Low,Volumn
2019-07-08 07:00:00+07:00,22.2,21.9,22.3,21.3,23962420
2019-07-15 07:00:00+07:00,22.0,20.6,22.0,20.4,32503360
2019-07-22 07:00:00+07:00,20.6,22.55,23.05,20.3,38859710
2019-07-29 07:00:00+07:00,22.55,22.45,22.75,21.3,32695040
2019-08-05 07:00:00+07:00,22.35,23.1,23.5,21.55,30106800
2019-08-12 07:00:00+07:00,23.1,23.05,23.9,22.8,34154810
2019-08-19 07:00:00+07:00,23.0,23.4,23.45,22.75,20852250
2019-08-26 07:00:00+07:00,23.1,22.2,23.15,22.0,27280000
2019-09-03 07:00:00+07:00,22.2,21.4,22.3,21.4,17907230
2019-09-09 07:00:00+07:00,21.5,22.6,22.65,21.1,21932280
2019-09-16 07:00:00+07:00,22.45,22.65,23.05,22.25,23655600
2019-09-23 07:00:00+07:00,22.6,22.15,22.6,21.7,17827500
2019-09-30 07:00:00+07:00,22.2,21.35,22.25,21.3,21181490
2019-10-07 07:00:00+07:00,21.35,21.5,22.1,21.2,18461550
2019-10-14 07:00:00+07:00,21.7,21.4,21.7,21.3,16311920
2019-10-21 07:00:00+07:00,21.4,21.8,22.1,21.2,21683410
2019-10-28 07:00:00+07:00,21.8,21.9,22.45,21.65,25518890
2019-11-04 07:00:00+07:00,22.1,22.7,22.8,21.7,34606660
2019-11-11 07:00:00+07:00,22.6,22.65,23.15,22.5,30024980
2019-11-18 07:00:00+07:00,22.7,22.1,23.0,22.0,28230390
2019-11-25 07:00:00+07:00,22.15,22.85,22.95,22.0,23339700
2019-12-02 07:00:00+07:00,22.85,23.85,23.9,22.7,35651710
2019-12-09 07:00:00+07:00,23.85,23.8,24.55,23.8,37094770
2019-12-16 07:00:00+07:00,23.8,23.0,23.9,22.5,33741680
2019-12-23 07:00:00+07:00,23.15,23.55,23.55,22.85,16796750
2020-01-02 07:00:00+07:00,23.5,24.15,24.35,23.35,12064440
2020-01-06 07:00:00+07:00,24.0,24.2,24.55,23.15,31283030
2020-01-13 07:00:00+07:00,24.2,25.0,25.65,24.1,33087520
2020-01-20 07:00:00+07:00,25.0,26.3,26.4,24.7,20543350
2020-01-30 07:00:00+07:00,25.55,24.1,25.9,24.1,24023760
2020-02-03 07:00:00+07:00,23.3,24.35,25.3,22.7,44438210
2020-02-10 07:00:00+07:00,24.0,23.7,24.65,23.35,37243860
2020-02-17 07:00:00+07:00,23.7,23.55,23.85,23.1,25393730
2020-02-24 07:00:00+07:00,22.75,22.35,23.15,22.25,32646950
2020-03-02 07:00:00+07:00,22.2,22.4,22.8,22.2,16945810
2020-03-09 07:00:00+07:00,20.85,19.05,21.8,17.95,59110870
2020-03-16 07:00:00+07:00,19.2,18.6,20.1,18.6,46908310
2020-03-23 07:00:00+07:00,17.4,16.8,18.0,16.65,43600080
