Date,Open,High,Low,Close,Volumn
2019-01-03 14:15:00+07:00,40.9,40.9,40.8,40.85,35300
2019-01-03 14:20:00+07:00,40.85,40.85,40.8,40.85,7270
2019-01-03 14:25:00+07:00,40.8,40.85,40.8,40.85,26780
2019-01-03 14:45:00+07:00,40.8,40.8,40.8,40.8,27490
2019-01-04 09:15:00+07:00,40.6,40.6,40.55,40.55,17920
2019-01-04 09:20:00+07:00,40.6,40.6,40.55,40.6,8570
2019-01-04 09:25:00+07:00,40.6,40.6,40.5,40.55,18430
2019-01-04 09:30:00+07:00,40.6,40.7,40.6,40.65,9390
2019-01-04 09:35:00+07:00,40.65,40.65,40.6,40.6,8430
2019-01-04 09:40:00+07:00,40.6,40.65,40.6,40.65,8780
2019-01-04 09:45:00+07:00,40.65,40.7,40.65,40.65,3700
2019-01-04 09:50:00+07:00,40.65,40.7,40.65,40.7,1980
2019-01-04 09:55:00+07:00,40.7,40.75,40.7,40.75,3950
2019-01-04 10:00:00+07:00,40.7,40.7,40.6,40.7,9150
2019-01-04 10:05:00+07:00,40.7,40.7,40.6,40.6,19020
2019-01-04 10:10:00+07:00,40.6,40.7,40.6,40.65,1940
2019-01-04 10:15:00+07:00,40.6,40.65,40.6,40.65,7310
2019-01-04 10:20:00+07:00,40.65,40.65,40.6,40.6,33460
2019-01-04 10:25:00+07:00,40.6,40.65,40.6,40.65,550
2019-01-04 10:30:00+07:00,40.65,40.7,40.6,40.7,3350
2019-01-04 10:35:00+07:00,40.8,41.0,40.8,41.0,1650
2019-01-04 10:40:00+07:00,41.0,41.0,41.0,41.0,1000
2019-01-04 10:45:00+07:00,41.0,41.0,41.0,41.0,10
2019-01-04 10:50:00+07:00,40.9,40.95,40.9,40.95,6270
2019-01-04 10:55:00+07:00,40.95,41.0,40.95,41.0,1410
2019-01-04 11:00:00+07:00,41.0,41.1,41.0,41.1,9460
2019-01-04 11:05:00+07:00,41.1,41.1,41.0,41.1,3830
2019-01-04 11:10:00+07:00,41.0,41.0,40.95,40.95,10400
2019-01-04 11:15:00+07:00,40.95,40.95,40.95,40.95,100
2019-01-04 11:20:00+07:00,41.0,41.0,41.0,41.0,20
2019-01-04 11:25:00+07:00,40.95,40.95,40.95,40.95,200
2019-01-04 13:00:00+07:00,41.0,41.0,40.95,40.95,10250
2019-01-04 13:05:00+07:00,40.95,40.95,40.95,40.95,500
2019-01-04 13:10:00+07:00,40.9,40.95,40.9,40.95,21040
2019-01-04 13:15:00+07:00,40.95,41.15,40.95,41.15,7300
2019-01-04 13:20:00+07:00,41.0,41.3,41.0,41.3,9180
2019-01-04 13:25:00+07:00,41.1,41.3,41.1,41.3,330
2019-01-04 13:30:00+07:00,41.4,41.4,41.3,41.4,21520
2019-01-04 13:35:00+07:00,41.35,41.35,41.35,41.35,750
2019-01-04 13:40:00+07:00,41.3,41.3,41.3,41.3,2010
2019-01-04 13:45:00+07:00,41.4,41.4,41.3,41.3,210
2019-01-04 13:50:00+07:00,41.3,41.3,41.3,41.3,490
2019-01-04 13:55:00+07:00,41.3,41.3,41.3,41.3,1690
2019-01-04 14:00:00+07:00,41.4,41.4,41.4,41.4,1120
2019-01-04 14:05:00+07:00,41.3,41.3,41.3,41.3,10
2019-01-04 14:10:00+07:00,41.3,41.3,41.3,41.3,1500
2019-01-04 14:15:00+07:00,41.3,41.3,41.3,41.3,3460
2019-01-04 14:20:00+07:00,41.3,41.3,41.3,41.3,2060
2019-01-04 14:25:00+07:00,41.45,41.45,41.2,41.3,11560
2019-01-04 14:45:00+07:00,41.1,41.1,41.1,41.1,33310
